TransactionID,Date,Amount,Category,Subcategory,Merchant,PaymentMethod,Location,UserID
86,2025-05-06 16:36:08.162426,867.5,Utilities,Internet,White-Horton,Credit Card,East Nicholas,2
87,2025-04-01 12:41:09.654644,459.09,Transport,Uber,Archer-Smith,Wallet,Melissaview,3
88,2025-03-24 15:37:05.900470,990.59,Transport,Bus,"Adams, Turner and Morse",Cash,Randytown,2
89,2025-01-16 14:48:15.577455,341.9,Transport,Uber,Ford-Ball,Credit Card,Aliciafurt,1
90,2025-04-21 22:56:41.163062,930.94,Health,Pharmacy,"Stephens, Wise and Smith",Credit Card,Port Donnaberg,5
91,2024-07-04 12:42:13.390878,552.58,Shopping,Home Goods,"Taylor, Vincent and Edwards",UPI,Cindyberg,2
92,2024-06-25 06:22:39.521125,323.54,Shopping,Electronics,Lambert-Sanchez,Debit Card,Wilkersonhaven,4
93,2024-10-09 15:50:43.174256,172.12,Shopping,Clothing,Pratt-Meyer,Cash,Port Courtneyfurt,5
94,2025-01-27 08:57:22.235647,730.97,Shopping,Electronics,Clark Inc,Credit Card,West Andrew,3
95,2024-06-23 17:13:39.609890,710.57,Transport,Fuel,Jackson LLC,Cash,Paulside,3
96,2024-09-23 01:30:20.108399,422.29,Utilities,Electricity,"Brandt, Ramirez and Taylor",Wallet,Port Joyhaven,3
97,2024-06-06 10:51:35.894524,231.57,Shopping,Clothing,Bartlett LLC,Wallet,New Whitney,4
98,2024-09-10 14:41:06.899231,790.44,Transport,Train,Campbell-Wilson,Cash,Destinyfurt,5
99,2024-12-04 21:55:53.055154,962.25,Food,Fast Food,Williams-Pierce,UPI,Gonzalezmouth,3
100,2024-09-08 15:21:38.521497,582.53,Shopping,Clothing,"Clark, Kirby and Evans",UPI,Josephfort,1
101,2025-04-04 06:31:58.407694,485.81,Entertainment,Concerts,"Mitchell, Evans and Davis",Cash,Lake Triciaville,3
102,2025-03-30 15:32:49.538065,438.74,Utilities,Electricity,"Daniels, Marshall and Butler",Debit Card,Port Michael,4
103,2025-05-06 09:44:11.863247,628.67,Transport,Fuel,Chavez PLC,Cash,Lake Courtneyhaven,5
104,2025-03-11 13:04:38.547570,540.29,Utilities,Internet,Moore LLC,UPI,North Jillport,1
105,2024-12-17 13:03:39.288468,751.05,Transport,Bus,"Robertson, Stokes and Perkins",Cash,East Timothy,1
106,2025-02-17 09:59:42.649534,360.37,Entertainment,Concerts,Barnes PLC,Debit Card,Hunterside,5
107,2024-11-03 11:30:43.022291,620.31,Health,Pharmacy,"Thomas, Scott and Stewart",UPI,South Anthony,3
108,2024-11-11 13:31:39.194288,681.97,Entertainment,Movies,"Murphy, Cain and Hardin",Wallet,Robinsonside,2
109,2025-04-12 00:59:26.373915,621.69,Utilities,Water,"Ward, Thompson and Brown",UPI,Hayleymouth,2
110,2024-07-05 23:36:14.170777,48.87,Shopping,Clothing,Garcia-Hall,Cash,Juliaport,4
111,2024-08-16 05:45:29.808017,379.92,Health,Pharmacy,Watts Ltd,UPI,Lake Brianside,3
112,2025-04-08 08:46:00.419115,551.29,Entertainment,Movies,Cook-Thompson,Cash,Ayalabury,1
113,2024-12-18 19:02:45.674818,716.02,Utilities,Internet,"Huang, Long and Smith",Cash,North Samantha,1
114,2024-11-04 09:40:20.293838,5.83,Transport,Bus,Blake LLC,Cash,Matthewland,4
115,2024-12-31 18:23:55.334449,801.02,Shopping,Clothing,Snyder LLC,Credit Card,Petersonhaven,4
116,2024-07-05 08:40:05.427581,738.52,Utilities,Water,Diaz-Newton,Cash,New Bradleyton,5
117,2025-03-28 18:47:28.216625,667.29,Health,Insurance,"Marshall, Cherry and Schneider",UPI,West Kayla,4
118,2024-07-23 23:26:09.200151,710.58,Health,Pharmacy,Flores-Mercado,Wallet,Tammymouth,3
119,2024-10-27 20:41:28.063824,127.2,Transport,Bus,"Rogers, Scott and Howard",UPI,Johnsonshire,3
120,2024-10-30 22:02:09.265432,457.68,Utilities,Electricity,Newman-Cunningham,Wallet,Susanberg,5
121,2024-08-26 05:31:25.733258,248.79,Health,Pharmacy,Cole Ltd,Credit Card,West Nancy,1
122,2025-04-20 22:43:11.890552,900.84,Entertainment,Games,"Barker, Brown and Ross",UPI,Andrewmouth,3
123,2024-08-29 14:25:38.755200,727.9,Utilities,Electricity,Harrison Ltd,Cash,Stephenston,1
124,2024-06-13 23:09:04.525404,407.2,Shopping,Clothing,Grimes LLC,Debit Card,Phillipsmouth,3
125,2024-07-28 00:58:50.537664,41.5,Shopping,Clothing,Shaw Inc,Wallet,Elizabethport,1
126,2024-07-17 17:37:27.209158,824.01,Entertainment,Movies,Vaughn and Sons,Cash,Christopherburgh,5
127,2025-05-02 14:17:51.539029,324.42,Utilities,Electricity,Torres-Frank,UPI,Howardberg,3
128,2025-02-26 12:46:33.900070,973.73,Utilities,Electricity,Daniel Inc,Wallet,East Shawnport,3
129,2025-01-14 05:43:01.556508,63.33,Entertainment,Games,"Potter, Sutton and Gonzalez",Wallet,Jenniferchester,5
130,2025-02-24 13:31:52.578249,838.22,Food,Groceries,Patel-Delgado,Credit Card,Hamiltonborough,2
131,2025-02-23 04:57:01.033974,114.87,Utilities,Electricity,"Holmes, Austin and Hurst",Wallet,Lake Jacqueline,5
132,2025-04-11 12:46:51.101616,324.73,Shopping,Home Goods,Fitzgerald Ltd,Cash,Port Stephanie,5
133,2025-03-15 20:10:27.430705,658.13,Entertainment,Games,"Wilson, Spears and Jordan",Debit Card,Dustinhaven,1
134,2024-06-28 11:35:53.097362,411.26,Shopping,Clothing,"Williams, Michael and Chavez",UPI,Faulknerhaven,4
135,2024-10-23 22:38:33.523083,666.45,Entertainment,Concerts,Lopez-Nelson,Cash,Stevensfurt,3
136,2024-12-06 16:54:13.543570,364.54,Shopping,Clothing,Hobbs-Williams,Wallet,Donnaville,2
137,2025-03-08 20:34:44.696589,559.91,Utilities,Electricity,"Casey, Reese and Baxter",Debit Card,Johnview,2
138,2024-11-18 03:03:57.818377,970.69,Utilities,Water,Clark-Bean,Credit Card,Port Rodney,5
139,2024-12-13 03:52:32.168322,359.11,Entertainment,Concerts,"Armstrong, Garcia and Griffin",Credit Card,East Hunterberg,5
140,2024-06-05 09:09:57.390275,41.04,Entertainment,Games,Yoder-Yang,Cash,East David,2
141,2024-12-09 16:31:37.852441,223.06,Shopping,Clothing,"Villegas, Morales and Robinson",Cash,East Jamesland,1
142,2024-06-16 18:11:53.645797,392.6,Entertainment,Movies,"Jensen, Rodriguez and Sanchez",Cash,Lake Taylorfort,3
143,2024-09-19 08:11:29.309098,938.04,Transport,Fuel,"Case, Lewis and Parker",Debit Card,Brookefort,1
144,2025-01-19 08:30:05.792610,937.75,Health,Pharmacy,Ford and Sons,Wallet,Port Terri,4
145,2025-04-18 04:19:15.230742,267.21,Transport,Bus,"Edwards, Gray and Villanueva",Credit Card,Brittanyport,1
146,2025-03-08 09:34:41.660059,278.32,Food,Restaurants,"Roberts, Browning and Hernandez",UPI,Chenchester,1
147,2024-08-10 03:27:39.139222,496.27,Health,Clinic,Anderson LLC,Credit Card,Haysland,1
148,2024-10-13 16:39:06.633910,205.11,Food,Restaurants,"Long, Martin and Davis",Credit Card,East Parkerchester,4
149,2024-06-11 00:43:05.002415,128.23,Food,Restaurants,Lee Group,Cash,Lake Jacob,5
150,2024-11-12 05:56:08.116738,952.2,Entertainment,Concerts,Marquez-Fields,UPI,Jacksonstad,4
151,2025-05-17 05:09:01.929794,420.78,Shopping,Electronics,Cunningham PLC,Cash,South Evan,4
152,2024-07-24 02:37:59.307366,422.35,Food,Restaurants,Lester-Walters,Cash,Lake Becky,5
153,2025-02-07 02:26:51.627621,856.87,Health,Insurance,Garcia-Lambert,Debit Card,North Nicholaston,1
154,2024-08-02 19:18:12.781658,892.76,Transport,Train,Rosales Inc,Wallet,Melindafurt,4
155,2024-06-21 19:06:04.391936,802.24,Food,Groceries,Simpson Group,Credit Card,Riveraberg,1
156,2024-06-06 12:04:21.727794,23.31,Entertainment,Concerts,"Fuller, Stone and Tran",Debit Card,West Janiceport,5
157,2025-03-30 06:24:22.616023,532.04,Entertainment,Concerts,Perkins-Johnson,Debit Card,Gutierrezmouth,1
158,2025-04-13 09:45:33.894600,382.45,Food,Restaurants,Wright Inc,Cash,Stephenmouth,3
159,2025-02-19 05:29:28.130042,926.26,Transport,Uber,"Stein, Johnson and Graham",UPI,Guzmanstad,2
160,2024-05-23 23:18:22.321365,656.88,Transport,Train,"Black, Martin and Mcbride",Debit Card,Loweland,5
161,2025-02-25 13:44:17.161683,651.54,Food,Groceries,"Cook, Hardin and Cox",Debit Card,Michaelview,4
162,2024-11-29 14:39:20.933704,335.66,Shopping,Clothing,Edwards and Sons,Credit Card,Alexandraton,3
163,2024-07-25 21:46:33.452729,95.6,Shopping,Home Goods,Parker-Johnson,Debit Card,Timothyberg,5
164,2025-02-15 17:34:17.748348,545.08,Shopping,Home Goods,"Williams, Long and Nelson",UPI,East Marychester,3
165,2024-11-27 06:21:24.223381,686.08,Utilities,Internet,Wade PLC,UPI,Sandershaven,2
166,2025-01-26 13:10:57.729965,269.45,Utilities,Water,Moore and Sons,Debit Card,Washingtonshire,1
167,2024-11-07 17:16:28.226292,88.24,Entertainment,Concerts,Marshall Ltd,UPI,Maryview,5
168,2025-01-21 21:43:22.516057,375.96,Transport,Fuel,Cuevas PLC,Debit Card,Stanleychester,5
169,2025-03-19 00:13:59.466639,91.36,Utilities,Electricity,Parker-Hall,Wallet,North Amanda,4
170,2024-06-03 15:34:12.459052,84.44,Utilities,Electricity,Marsh PLC,Cash,South Daniel,1
171,2024-07-27 22:07:27.546458,492.87,Transport,Train,James-Jackson,Debit Card,Christopherport,1
172,2025-03-31 19:58:51.620384,769.88,Entertainment,Movies,"Haas, Thompson and Good",Debit Card,West Jeffreyborough,1
173,2024-07-30 02:32:21.477800,180.8,Utilities,Electricity,Gutierrez PLC,Cash,Bethside,2
174,2025-01-19 02:26:15.686614,170.43,Utilities,Internet,Daniels-Anderson,Debit Card,Port Kevinmouth,1
175,2025-04-16 08:36:02.169325,278.63,Utilities,Water,Anderson-Martinez,Credit Card,Simmonsmouth,3
176,2024-08-01 03:36:03.217129,811.44,Utilities,Electricity,Ayers Ltd,Debit Card,Lake Adam,1
177,2024-08-31 18:39:00.037493,300.61,Transport,Uber,Holder-Curtis,UPI,New Lauren,5
178,2024-11-28 22:07:32.090652,110.17,Health,Insurance,"Howard, Baker and Cantrell",Debit Card,Port Megan,2
179,2024-12-18 11:25:34.596523,181.77,Shopping,Electronics,Clark-Mccarthy,Debit Card,Christopherport,2
180,2024-11-07 10:03:55.566311,84.72,Utilities,Water,"Rodriguez, Ball and Haley",Debit Card,Smithfurt,2
181,2024-11-08 20:00:26.597463,407.77,Entertainment,Movies,"Leach, Butler and Peterson",Debit Card,Amberberg,3
182,2024-11-10 02:10:28.140744,192.5,Health,Clinic,Thomas and Sons,Debit Card,Anthonybury,1
183,2024-05-23 18:14:18.903685,465.33,Shopping,Clothing,Robinson-Pena,Cash,Taylorberg,5
184,2024-08-17 17:20:27.887820,51.4,Entertainment,Concerts,Schmitt-Duke,Wallet,North Christina,5
185,2024-08-27 00:11:57.127980,744.97,Food,Restaurants,Williams Inc,Cash,Andersontown,1
186,2024-06-17 14:54:03.790770,932.92,Entertainment,Games,"Ward, Reed and Silva",Debit Card,Simmonsfort,5
187,2025-02-08 01:52:12.455723,802.65,Entertainment,Games,Newman Inc,Cash,Rebeccatown,2
188,2025-01-14 02:29:55.940993,191.2,Entertainment,Movies,Garcia Group,Debit Card,Ashleyville,2
189,2024-10-23 21:28:08.180948,732.2,Utilities,Electricity,Smith-Miller,Debit Card,Sellerschester,3
190,2025-04-04 07:46:53.787764,270.12,Utilities,Water,Bennett and Sons,UPI,East Brianshire,1
191,2024-09-23 01:29:10.475927,375.59,Entertainment,Games,Olson Group,Cash,West Melissaville,2
192,2025-02-21 15:19:30.578914,689.95,Shopping,Home Goods,Green Group,Credit Card,East Lynn,4
193,2025-05-03 13:26:55.062195,735.57,Health,Pharmacy,Hall-Daugherty,Debit Card,Thomasport,4
194,2025-03-09 06:35:09.971594,793.54,Food,Groceries,Lewis and Sons,Cash,South Danielmouth,4
195,2025-01-22 12:05:11.919644,998.68,Entertainment,Concerts,"Morris, Donaldson and Taylor",Debit Card,Port Stephaniemouth,4
196,2025-05-14 16:37:35.035012,64.72,Food,Fast Food,Gaines-Gonzalez,Debit Card,Jameschester,4
197,2024-05-21 06:51:23.944275,582.63,Health,Pharmacy,"Cherry, Sims and Fields",Cash,Frankville,2
198,2024-07-12 20:17:51.075353,765.74,Food,Groceries,"Cooper, Martinez and Phelps",Credit Card,Melissachester,2
199,2025-02-07 08:19:54.885600,998.55,Entertainment,Movies,Woods-Olson,Debit Card,Donaldborough,4
200,2024-06-04 11:03:13.965527,172.55,Shopping,Electronics,"Oconnell, Contreras and Acosta",Wallet,Bennettshire,5
201,2024-08-04 20:41:08.200906,741.35,Health,Clinic,Wade Group,UPI,Masseyfurt,5
202,2025-01-20 22:41:38.707033,956.0,Utilities,Water,"Cardenas, Miller and King",Wallet,South William,5
203,2025-02-14 23:39:59.601349,399.43,Utilities,Internet,Cooper-Herring,UPI,Michaelbury,4
204,2025-01-29 17:09:05.334135,869.82,Transport,Fuel,"Turner, Thomas and Jackson",UPI,North Alfred,3
205,2025-01-17 14:51:31.861326,960.26,Health,Clinic,"Smith, Watson and Gray",Wallet,Maysmouth,4
206,2025-03-18 03:45:02.866308,202.71,Shopping,Home Goods,"Chen, Erickson and Mills",Wallet,East Patrick,1
207,2024-08-06 05:17:10.530400,962.32,Utilities,Electricity,King-Mendoza,UPI,Lake Joelchester,1
208,2025-02-25 21:02:24.505625,488.15,Health,Insurance,"Taylor, Perez and Rose",Debit Card,Jennifertown,2
209,2025-01-29 22:28:04.965830,190.41,Food,Groceries,Ramirez PLC,Wallet,Port Calvinbury,1
210,2024-12-07 16:48:17.689349,547.22,Health,Insurance,"Brown, Taylor and Gomez",Cash,North Jenniferfurt,2
211,2024-06-06 08:22:02.606658,607.35,Health,Pharmacy,Simmons-Bright,Wallet,Lake Gregview,5
212,2025-03-23 16:45:20.657203,246.85,Health,Insurance,Benton-Anderson,Cash,Guerrerobury,1
213,2024-12-16 09:17:57.758068,949.75,Entertainment,Movies,Stewart Ltd,Credit Card,New Rebeccaton,2
214,2024-09-23 06:03:52.246250,450.83,Transport,Uber,Farley-Thompson,UPI,South Kellytown,3
215,2024-11-21 06:25:56.239421,487.26,Entertainment,Concerts,"Moran, Stevens and Cunningham",Wallet,Michelleside,3
216,2025-04-15 22:11:15.900969,272.33,Utilities,Internet,"Hopkins, Spencer and Hanson",Debit Card,Marcusville,4
217,2024-07-23 01:58:49.716721,121.53,Utilities,Water,"Jensen, Pham and Dawson",Wallet,Lake Andrea,5
218,2025-04-03 03:07:09.744279,929.83,Transport,Fuel,Carpenter-Greer,Cash,North Jonhaven,1
219,2025-01-04 21:40:26.375066,536.48,Utilities,Electricity,Miles Group,UPI,Mayerland,5
220,2024-06-18 19:01:23.689917,419.66,Entertainment,Games,Jennings-York,UPI,South Hailey,3
221,2024-05-24 03:40:52.076470,860.08,Entertainment,Concerts,Lewis Group,Wallet,New Robertmouth,4
222,2024-07-29 05:26:22.248048,847.28,Utilities,Electricity,"Mccoy, Arellano and Nichols",Wallet,West Lindsay,3
223,2025-03-18 11:40:00.278096,167.92,Transport,Bus,Nicholson PLC,UPI,Lake Adrianport,5
224,2025-05-20 05:27:17.266648,473.79,Shopping,Electronics,Wilson Group,Wallet,Lisatown,1
225,2025-01-12 18:14:35.096246,238.24,Food,Fast Food,Stout Group,Credit Card,Brayview,4
226,2025-03-17 23:33:26.687317,40.31,Transport,Bus,Hunter and Sons,Wallet,Jennifermouth,2
227,2024-09-30 20:37:02.506466,240.59,Shopping,Home Goods,Jackson-Maldonado,Debit Card,West Jeffreyburgh,2
228,2024-06-19 08:32:44.213244,194.57,Utilities,Internet,"Christensen, Santana and Ayala",UPI,West Josephton,4
229,2024-08-28 16:39:34.840086,361.12,Health,Pharmacy,Bolton and Sons,Credit Card,Port Chris,3
230,2024-09-19 03:14:27.784630,444.64,Transport,Train,Graham LLC,Cash,South Michellehaven,2
231,2024-06-08 20:13:21.109672,222.52,Entertainment,Movies,"Donaldson, Evans and Stafford",Credit Card,Cynthiaberg,3
232,2025-05-12 14:35:17.931713,30.43,Entertainment,Concerts,Tapia PLC,Wallet,Nguyenland,5
233,2025-04-16 21:03:04.120932,955.7,Utilities,Electricity,Zuniga Inc,Debit Card,Lake Christinamouth,3
234,2024-12-08 08:35:48.666080,709.98,Entertainment,Games,Irwin LLC,Credit Card,South Dominiqueshire,4
235,2025-02-26 16:09:18.541923,787.44,Entertainment,Movies,Herman-Garcia,UPI,Lake Joseph,3
236,2025-03-05 13:36:00.699819,198.4,Food,Groceries,Burns-Maldonado,Credit Card,East Sheriburgh,4
237,2024-05-27 09:22:37.207547,267.76,Entertainment,Concerts,"Dominguez, Sullivan and King",Cash,New Bryan,2
238,2025-02-18 15:12:22.934026,569.79,Utilities,Internet,"Martinez, Moore and Mcintosh",UPI,West Stephenfurt,3
239,2024-12-29 17:06:02.191689,907.3,Transport,Train,Lloyd LLC,Wallet,Michelleborough,5
240,2025-01-28 06:15:45.852761,677.43,Food,Groceries,"Keith, Monroe and Galloway",Credit Card,Floresville,2
241,2024-06-12 17:14:35.195093,899.91,Health,Clinic,Reed-Edwards,Wallet,West Frankport,3
242,2025-03-29 01:10:41.173320,303.07,Shopping,Home Goods,Lee PLC,Cash,West Angelstad,3
243,2024-12-19 12:15:05.798340,907.99,Food,Restaurants,"Mcbride, Fleming and Short",Credit Card,West Joshua,1
244,2024-06-30 08:22:01.707960,522.82,Food,Fast Food,"Espinoza, Jones and Campos",Wallet,Richardsonberg,1
245,2024-08-14 06:19:43.031263,589.12,Food,Fast Food,Hanson-Brooks,Cash,North Williamfurt,2
246,2024-06-11 07:41:21.585552,590.38,Transport,Train,Carey Ltd,Cash,Hernandezmouth,1
247,2024-06-03 11:05:49.174117,72.97,Transport,Train,Simpson-Sanchez,UPI,South Brittneystad,1
